daño,Predicción
sin energia,cancelar
falla en el contador,ejecutar
la energia se va y vuelve a cada rato haciendo que mis electrodomesticos empiecen a sonar y funcionar de manera incorrecta ,cancelar
es una lampara de alumbrado publico q esta danada,cancelar
sector sin servicio,cancelar
variacion del voltaje afecta electrodomesticos ocasionando danos,cancelar
no tenemos energia electrica en el sector,ejecutar
sin energia,cancelar
zona sin fluido electrico,cancelar
no hay luz,cancelar
no hay energia,ejecutar
el tipo de falla es que el contador esta que se cae de la pared,ejecutar
no tengo internet,cancelar
sobre voltaje voltaje de entrada 140 voltios,cancelar
el transformador esta echando candela y quemo una rama de un arbol,ejecutar
postes sin energia,ejecutar
hay bajones de energia que se me apaga el televisor,ejecutar
la bombilla de la puerta se fundio en el poste ,cancelar
sin energia sin corriente,cancelar
no alumbran dos lamparas de la calle,cancelar
la energia se encuentra con fallas de voltaje,ejecutar
la falla es en postes,ejecutar
el recibo llega muy alto solo hay un televisor y dos bombillos vive solo una persona  el consumo cada vez es mas alto,ejecutar
se cayo un arbol,cancelar
un camion paso y se llevo el contador dejandome sin energia,ejecutar
dano en transformador desde el dia martes,ejecutar
aumento en el consumo de voltaje,ejecutar
cortaron la linea que  lleva la energia al local,ejecutar
veo vela caida y hubo explosion por la entrada a riopaila,ejecutar
hola buenas tardes,ejecutar
el taco principal de la torre se baja solo el de mi predio y es dano en el sector a  ya me habian venido a revisar,ejecutar
el contador no se ve nada el consumo,ejecutar
tres postes fuera de servicios,cancelar
hola,ejecutar
falla de energia en antena de telecomunicaciones,cancelar
no hay fluido electrico en el inmueble a razon del cable reventado,ejecutar
sin energia,cancelar
sin energia en el previo,ejecutar
los bombillos estan titilando intermitente,ejecutar
el voltaje ,ejecutar
estamos sin el servicio energia vela ,cancelar
el cable que va en la conexion del poste esta flojo y chispea y se nos va luz a ratos,ejecutar
empty,ejecutar
unas guaduas caidas en las cuerdas principales,ejecutar
contador con cortocircuito,cancelar
fue en hora de la tarde los vecinos me pusieron la,ejecutar
no hay servicio en este momento y este es un almacen veterinario y manejamos vacunas,cancelar
conectamos las neveras y no arrancan,ejecutar
falla de energia,ejecutar
cable danado acometida,cancelar
variacion,cancelar
si,"Entrada inválida. Por favor, ingrese un texto coherente."
el suministro de 220 voltios esta muy bajo ya que hace que  los aires acondicionados se apaguen,ejecutar
un camion revento la acometida de la casa de al frente,cancelar
el cableado de poste a poste esta muy caido y requerimos que sea arreglado,cancelar
se visualiza y se escucha corto ,ejecutar
no ha internet y el cable esta regado en toda la calle,cancelar
sin energia local,ejecutar
no hay suministro de energia en mi propiedad,ejecutar
se apagan y se prenden los electrodomesticos cada 5 minutos,ejecutar
el tubo del cable se partio,ejecutar
no enciende ninguna de las lamparas estamos a oscuras,cancelar
se cayo un arbol y revento cuerdas esta con chispas,ejecutar
en el techo de mi casa hay 3 cables caidos de los contadores de mis vecinos,cancelar
el dano a explotado receptor en refrigerador y todas las luces de la casa,ejecutar
me quedo sin energia,ejecutar
el cable esta suspendido por toda la carretera,cancelar
linea reventada por arbol caido,ejecutar
un camion revento el cable del internet celsia,cancelar
alumbrado publico sin servicio,cancelar
tengo consumo y me llega en 0,cancelar
cables  colgantes,ejecutar
sin energia,cancelar
las lampara de poste no alumbran,cancelar
no tengo energia en mi casa,cancelar
no hay luz en el poste,ejecutar
cuerdas de altas tension reventadas peligroso para la vida humana y animal,cancelar
sector sin servicio,cancelar
no hay energia,ejecutar
acometidasuelta en via publica,cancelar
arbol tocando cuerdas y ocasionando fluctuacion de voltaje,ejecutar
se revento la cuerda de energia del poste al edificio,cancelar
sin energia,cancelar
varias casas sin servicio,ejecutar
trato con line inactiva y ap sin energia,ejecutar
no hay energia en la casa,cancelar
no hay internet,cancelar
3,"Entrada inválida. Por favor, ingrese un texto coherente."
cuerda en dano le llaman la cometida,ejecutar
no hay luz  porque el cable se quemo,cancelar
no tengo el servicio en funcionamiento,ejecutar
2 recibos an llegado en ceros eso quiere decir que el contador esta danado,cancelar
un tronco de palma cayo en la linea de energia que entra para la casa,ejecutar
poda de vegetacion y arboles swinglea debido a que las ramas de los arboles estan creciendo en medio de tendido electrico solicitado por el inspector de policia del municipio de andalucia,ejecutar
variacion de voltaje,cancelar
no tiene suficiente voltaje para conectar un electrodomestico,ejecutar
apago los breaker y el contador sigue marcando y tengo es eso de consumo,ejecutar
linea reventada por arbol caido,ejecutar
necesito reconexion de internet,cancelar
hay bajones de energia titila los bombillos y la nevera suena cada rato como si apenas se conectara,ejecutar
variacion en el voltaje,ejecutar
se sulfato el neutro de la caja de la acometida del poste,cancelar
hace dias el transformador sufrio un dano y lo cambiaron desde hay presento falla en el voltaje,ejecutar
suspension,ejecutar
un motor se prende y se apaga con frecuencia se puede quemar,ejecutar
estoy sin proteccion de polo a tierra,ejecutar
sere entonces la cuerda que va del poste al contador,ejecutar
el poste no tiene luz y toda la cuadra esta a oscuras,ejecutar
cuerdas reventadas,ejecutar
cuadra sin servicio de alumbrado publico,cancelar
aumento en el consumo de voltaje,ejecutar
65884909,"Entrada inválida. Por favor, ingrese un texto coherente."
sin energia en varias casas,ejecutar
fluctuacion de voltaje en el sector quedando por minutos sin fluido electrico,ejecutar
las casas tienen varios sectores y uno de ellos no tiene energia ya habia pasado y nos tuvieron todo un dia sin luz,ejecutar
sector cine negros,cancelar
sera que pueden venir revisar,cancelar
no tengo energia,cancelar
por la 4,ejecutar
se va y vuelve la energia,ejecutar
necesito una revision por elevacion de recibos,ejecutar
en el transformador empezo a echar chispas y se quedo  mi casa sin energia,ejecutar
la luminaria de la calle no funciona desde el lunes,cancelar
intermitente toda la casa ,cancelar
intermitencia en el alumbrado,cancelar
sin energia,cancelar
no hay luz en la zona,ejecutar
se me cayo una linea,ejecutar
unas guaduas caidas en las cuerdas principales,ejecutar
se revento una linea,cancelar
no hay internet,cancelar
se va la energia,cancelar
chispas de candela,cancelar
sector sin electricidad,ejecutar
cuerda,ejecutar
dano contador,ejecutar
variacion del voltaje,cancelar
un poste con baja tension y una lampara sin energia,ejecutar
no tengo servicio,ejecutar
la variacion en el consumo sigue elevandose y estan los mismos equipos,cancelar
cuerda reventada,ejecutar
cuerdas reventadas,ejecutar
voltaje 220 bajo con pinza amperimetrica no marca mas de 30v,cancelar
porteria,ejecutar
sobre voltaje voltaje de entrada 140 voltios,cancelar
casa sin energia,cancelar
se descogo la linea que va del poste a la casa y deproto un vehiculo la revienta por que esta muy bajita,cancelar
seva y vuelve la energia en el cual primero se quemo la nevera y ahora tambien quemo el televisor y la olla arrocera y los bajones de energia son como cada 5 minutos,ejecutar
se revento el cometida,cancelar
contador caido y sin tapa,cancelar
ha variacion en el voltaje,ejecutar
mi solicitudes para cambio de contador,cancelar
dano en el contador,ejecutar
no le llega energia total a los apartamentos,ejecutar
la acometida se safo de poste no llega el voltaje completo me toco conectar del 2 piso con una extencion por que estoy sin energia,cancelar
sin internet,cancelar
acometidasuelta en via publica,cancelar
chiapas en la lampara,ejecutar
un camion dano la linea de energia,ejecutar
estoy sin internet estando al dia con el pago,cancelar
solicitarle la poda de arboles porque estan tapando las luminarias del sector,ejecutar
poste echa chispas con ruido fuerte y no alumbran las bombillas,cancelar
los electrogenos presentan fallas y se apagan los bombillos,ejecutar
parque sin energia,ejecutar
uno de mis apartamentos esta desocupado desde octubre del ano pasado y me llega una factura de 160,ejecutar
se presenta una lectura alta de  consumo y se tiene apagado todo,ejecutar
no tengo energia en mi vivienda debido a un incendio en la calle,ejecutar
no tengo energia,cancelar
linea reventada,ejecutar
sin energia,cancelar
3,"Entrada inválida. Por favor, ingrese un texto coherente."
un carro que desconectar el cable de la energia del poste,cancelar
la luz sube baja y seca,cancelar
la energia es muy debil,cancelar
sin energia,cancelar
linea danada,ejecutar
trato con line inactiva y ap sin energia,ejecutar
paso un carro y arranco el cable de energia y el contador,ejecutar
presentamos bajones de nergia cada 40 minutos lo que hizo que un equipo de cimputo se danara,ejecutar
la energia varea se va y se viene,cancelar
el voltaje se cae,ejecutar
exploto el contador de mi casa y ya lo he reportado varias veces y nada q vienen por favor,ejecutar
las cuerdas del poste a la casa estan votando chispas de energia,ejecutar
desde el domingo se cayo una palma y revento las lineas,ejecutar
corto,ejecutar
variacion de voltaje,cancelar
el internet se fue desde las 9 am,cancelar
cobro equivocado en la factura,cancelar
desde ayer en la tarde el voltaje de energia sube y baja,ejecutar
no esta leyendo la carga,cancelar
cable desconectado del poste,cancelar
desde hace varios dias la iluminacion de las canchas de baloncesto se dano y esta muy oscuro permitiendo que lleguen jovenes a consumir vicio,ejecutar
carro revienta cuerda y el transformador esta haciendo corto y el predio esta sin energia,ejecutar
la iluminacion de los postes del alumbrado publico prenden y apagan constantemente,cancelar
la canuela esta caida que le falta la vela,ejecutar
sin servicio,cancelar
quemado,cancelar
no hay alumbrado publico por mi cuadra ya que 2 de las lamparas estan banadas no prenden,cancelar
la luz baja y sube,cancelar
un tercero se esta conectando a mi red,ejecutar
no hay energia,ejecutar
cable de entrada se quemo por un dano de un vecino que se le quemo los cables afectando el mio,cancelar
el poste prende intermitente pero es mas el tiempo que dura apagado que prendido,ejecutar
hubo un corto anoche y se destruyeron varios cables,ejecutar
no tengo energia danaron la cuerda,cancelar
el contador esta apagado y no tengo servicio de energia en mi casa,ejecutar
la luz esta inestable,cancelar
un tecnico de celsia dice que es en problema en el poste,cancelar
cable reventado por un camion,ejecutar
la luz se va y vuelve constantemente,ejecutar
sector con fluctuacion de voltaje chispea cuando venta,ejecutar
se sube y se baja la luz y hay tres casas que falla como la luz cuando se baja aca en mi casa en las otras tambien,ejecutar
la linea de energia que conecta del poste a la casa,ejecutar
sube  y baja la energia,cancelar
datos del medidor,cancelar
sin energia local,ejecutar
el cable se maquea por el viento por eso me quedo sin energia,ejecutar
no hay suministro de energia en mi propiedad,ejecutar
corto,ejecutar
variacion de voltaje solo en la finca santa lucia y se me estan danando los electrodomesticos,ejecutar
estamos sin energia,ejecutar
hubo un fuerte viento y la luz se fue en mi casa y los otros vecinos si tienen luz,ejecutar
requiero dar de baja a 3 contadores y revision de la acometida o la caja donde se encuentran los cables,cancelar
la factura cada mes aumenta mas,ejecutar
no tenemos luz,ejecutar
la semana pasada estuvo personal de celsia realizando trabajos donde quitaron la energia y nos dejaron sin alumbrado publico,cancelar
sin energia,cancelar
otras no,cancelar
el cable que da energia para la casa se safo del poste y es un adulto mayor q esta solito sin el servicio se le va danar los alimentos q tiene en la  nevera,cancelar
cuerda caida rota,ejecutar
se revento un cable que va al medidor,cancelar
empty,ejecutar
no tenemos energia en el alumbrado publico hace mas de 1 mes,cancelar
toco desconectar los electrodomesticos,ejecutar
me quitaron la energia,ejecutar
lampara de poste que no prende,cancelar
suena duro un corto en la red alrededor de mi casa,ejecutar
el consumo de energia es demasiado alto,ejecutar
cortocircuito,cancelar
